,name,isMarried,isNoble,numDeadRelations,popularity,isAlive
259,Wat (Wet),0,0,0,0.00668896321070234,1
260,Wate,0,0,0,0.0,1
261,Watt,0,0,0,0.0167224080267558,0
262,Wayn (guard),0,0,0,0.0100334448160535,1
263,Weasel,0,0,0,0.0167224080267558,1
264,Wendell Webber,0,1,0,0.0133779264214046,1
265,Wendello Qar Deeth,0,0,0,0.0100334448160535,1
266,Werlag,0,0,0,0.00668896321070234,1
267,Rafford,0,0,0,0.0969899665551839,0
268,Jhogo,0,0,0,0.20066889632107002,1
269,Sour Alyn,0,0,0,0.0434782608695652,1
270,Tobho Mott,0,0,0,0.0836120401337792,1
271,Zollo,0,0,0,0.0367892976588628,1
272,Tanda Stokeworth,0,1,1,0.11371237458193902,0
273,Samwell Tarly,0,0,0,0.9698996655518392,1
274,Abelar Hightower,0,1,0,0.0,1
275,Addam Frey,0,1,0,0.0267558528428093,1
276,Addam,0,1,0,0.00668896321070234,1
277,Addam Osgrey,0,0,0,0.0367892976588628,0
278,Aegon Frey (son of Aenys),0,0,0,0.0,1
279,Aegon Frey (son of Stevron),0,0,0,0.0,0
280,Aegon I Targaryen,0,0,6,1.0,0
281,Aegon II Targaryen,0,0,7,0.759197324414715,0
282,Aegon IV Targaryen,0,0,15,0.675585284280936,0
283,Aegon Targaryen (son of Baelon),0,1,0,0.0,1
284,Aegon III Targaryen,0,0,8,0.6254180602006679,0
285,Aegon Targaryen (son of Jaehaerys I),0,1,0,0.0,0
286,Aegon Targaryen (son of Aenys I),1,1,0,0.0,0
287,Aegon Targaryen (son of Rhaegar),0,0,0,0.0,0
288,Aemon Costayne,0,0,0,0.0100334448160535,1
289,Aenys I Targaryen,0,0,5,0.57190635451505,0
290,Aethan,0,0,0,0.0100334448160535,1
291,Aethelmure,0,1,0,0.0133779264214046,1
292,Aggar,0,0,0,0.0267558528428093,0
293,Agrivane,0,1,0,0.00668896321070234,1
294,Aerys I Targaryen,0,0,3,0.622073578595317,0
295,Alaric of Eysen,0,0,0,0.0167224080267558,1
296,Aerys II Targaryen,0,0,10,1.0,0
297,Alebelly,0,0,0,0.0301003344481605,0
298,Alequo Adarys,0,0,0,0.0133779264214046,0
299,Alester Oakheart,0,0,0,0.0167224080267558,1
300,Alia,0,0,0,0.0,1
301,All-for-Joffrey,0,0,0,0.00668896321070234,0
302,Allaquo,0,0,0,0.020066889632107,1
303,Allyria Dayne,0,0,0,0.0234113712374581,1
304,Alicent Hightower,1,1,4,0.267558528428093,0
305,Alyce,0,0,0,0.00668896321070234,1
306,Alvyn Sharp,0,0,0,0.0100334448160535,1
307,Alyn Hunt,0,1,0,0.0133779264214046,1
308,Alys Arryn,1,0,1,0.0802675585284281,1
309,Alysanne Bracken,0,0,0,0.0334448160535117,1
310,Alyn Velaryon,1,1,0,0.160535117056856,0
311,Alysanne Osgrey,0,0,0,0.0267558528428093,0
312,Alyssa Arryn,0,0,0,0.00668896321070234,1
313,Alysanne Hightower,1,0,0,0.0568561872909698,1
314,Amabel,0,0,0,0.00334448160535117,1
315,Ambrode,0,0,0,0.00334448160535117,1
316,Andrey Dalt,0,1,0,0.0367892976588628,1
317,Andrey Charlton,0,1,0,0.0133779264214046,0
318,Argrave the Defiant,0,1,0,0.0133779264214046,1
319,Armen,0,0,0,0.0301003344481605,1
320,Arneld,0,1,0,0.00334448160535117,1
321,Arnell,0,1,0,0.00668896321070234,1
322,Arrec Durrandon,0,0,0,0.0,1
323,Arron,0,0,0,0.0434782608695652,1
324,Arryk (guard),0,0,0,0.0,1
325,Arron Qorgyle,0,1,0,0.0234113712374581,1
326,Arson,0,0,0,0.0,1
327,Aubrey Ambrose,0,1,0,0.00668896321070234,1
328,Ayrmidon,0,0,0,0.00668896321070234,1
329,Baelon Targaryen (son of Viserys I),0,1,0,0.10033444816053501,0
330,Baelon Targaryen (son of Aerys),0,1,0,0.0434782608695652,1
331,Balon Botley,0,0,0,0.0501672240802675,1
332,Baelor Targaryen (son of Daeron II),1,1,3,0.474916387959866,0
333,Bandy,0,0,0,0.020066889632107,1
334,Bannen,0,0,0,0.0334448160535117,0
335,Barre,0,0,0,0.0133779264214046,1
336,Barbara Bracken,0,0,0,0.0301003344481605,1
337,Barth (brewer),0,0,0,0.00334448160535117,1
338,Bass,0,0,0,0.0,1
339,Bearded Ben,0,0,0,0.0234113712374581,1
340,Becca,0,0,0,0.00334448160535117,1
341,Beck,0,1,0,0.0,1
342,Belandra,0,0,0,0.00668896321070234,1
343,Beldecar,0,0,0,0.00668896321070234,1
344,Belis,0,1,0,0.020066889632107,1
345,Bellonara Otherys,0,0,0,0.0133779264214046,1
346,Bella,0,0,0,0.0836120401337792,1
347,Ben,0,0,0,0.0100334448160535,1
348,Ben Blackthumb,0,0,0,0.0267558528428093,1
349,Ben Bones,0,0,0,0.0334448160535117,1
350,Ben Bushy,0,1,0,0.0234113712374581,0
351,Benedict,0,1,0,0.0133779264214046,1
352,Benjen Stark (Bitter),0,0,0,0.0133779264214046,1
353,Benjen Stark (Sweet),0,0,0,0.0133779264214046,1
354,Bennet,0,0,0,0.00668896321070234,1
355,Bennis,0,1,0,0.0367892976588628,1
356,Beqqo,0,0,0,0.00334448160535117,1
357,Bennarion Botley,0,0,0,0.0468227424749163,1
358,Beron Blacktyde,0,0,0,0.0167224080267558,1
359,Bertram Beesbury,0,1,0,0.00334448160535117,1
360,Bessa,0,0,0,0.00668896321070234,1
361,Bessa (Winterfell),0,0,0,0.00334448160535117,1
362,Bess Bracken,0,0,0,0.0301003344481605,1
363,Bethany (Blushing Bethany),0,0,0,0.0167224080267558,1
364,Bethany Fair-Fingers,0,0,0,0.00668896321070234,1
365,Bharbo,0,0,2,0.00334448160535117,1
